Row,Predicted
t4,neutral
t0,neutral
t2,neutral
t9,neutral
t7,neutral
t3,neutral
t5,neutral
t1,neutral
t12,neutral
t8,neutral
t10,neutral
t20,negative
t17,neutral
t14,neutral
t6,negative
t19,neutral
t11,neutral
t27,neutral
t16,neutral
t28,neutral
t35,neutral
t25,neutral
t18,neutral
t13,negative
t43,neutral
t21,positive
t15,neutral
t22,neutral
t51,neutral
t24,neutral
t23,positive
t59,neutral
t29,positive
t26,neutral
t67,neutral
t33,neutral
t30,neutral
t37,neutral
t75,neutral
t32,neutral
t31,neutral
t39,neutral
t36,neutral
t81,neutral
t45,neutral
t44,neutral
t40,neutral
t38,neutral
t47,neutral
t53,neutral
t61,neutral
t41,neutral
t48,neutral
t49,neutral
t52,neutral
t56,neutral
t55,neutral
t63,neutral
t64,neutral
t46,neutral
t69,neutral
t60,neutral
t77,neutral
t72,neutral
t68,neutral
t80,neutral
t54,neutral
t34,neutral
t82,neutral
t57,neutral
t62,neutral
t65,neutral
t42,neutral
t71,neutral
t50,neutral
t79,neutral
t73,positive
t76,neutral
t58,neutral
t66,neutral
t70,neutral
t78,neutral
t83,neutral
t74,neutral
t84,neutral
t85,neutral
t86,neutral
t87,neutral
t88,neutral
t89,neutral
t90,neutral
t91,neutral
t92,neutral
t93,neutral
t94,neutral
t95,neutral
t96,neutral
t97,neutral
t98,neutral
t99,neutral
t100,neutral
t101,neutral
t102,neutral
t103,neutral
t104,neutral
t105,neutral
t106,neutral
t107,neutral
t108,neutral
t109,neutral
t110,neutral
t111,neutral
t112,neutral
t113,neutral
t114,neutral
t115,neutral
t116,neutral
t117,neutral
t118,neutral
t119,neutral
t120,neutral
t121,neutral
t122,neutral
t123,neutral
t124,neutral
t125,neutral
t126,neutral
t127,neutral
t128,neutral
t129,neutral
t130,neutral
t131,neutral
t132,neutral
t133,neutral
t134,neutral
t135,neutral
t136,neutral
t137,neutral
t138,neutral
t139,neutral
t140,neutral
t141,neutral
t142,neutral
t143,neutral
t144,neutral
t145,neutral
t146,neutral
t147,neutral
t148,neutral
t149,neutral
t150,neutral
t151,neutral
t152,neutral
t153,negative
t154,neutral
t155,neutral
t156,neutral
t157,neutral
t158,neutral
t159,neutral
t160,neutral
t161,neutral
t162,positive
t163,positive
t164,neutral
t165,positive
t166,neutral
t167,neutral
t168,neutral
t169,neutral
t170,neutral
t171,neutral
t172,neutral
t173,neutral
t174,neutral
t175,neutral
t176,neutral
t177,neutral
t178,neutral
t179,neutral
t180,neutral
t181,neutral
t182,neutral
t183,neutral
t184,neutral
t185,neutral
t186,positive
t187,positive
t188,neutral
t189,positive
t190,neutral
t191,neutral
t192,positive
t193,neutral
t194,neutral
t195,neutral
t196,negative
t197,neutral
t198,neutral
t199,neutral
t200,positive
t201,neutral
t202,neutral
t203,neutral
t204,neutral
t205,neutral
t206,neutral
t207,negative
t208,positive
t209,neutral
t210,neutral
t211,neutral
t212,positive
t213,neutral
t214,neutral
t215,neutral
t216,neutral
t217,neutral
t218,neutral
t219,neutral
t220,positive
t221,neutral
t222,neutral
t223,negative
t224,neutral
t225,neutral
t226,neutral
t227,neutral
t228,neutral
t229,neutral
t230,neutral
t231,neutral
t232,neutral
t233,neutral
t234,neutral
t235,neutral
t236,neutral
t237,neutral
t238,neutral
t239,neutral
t240,neutral
t241,neutral
t242,neutral
t243,neutral
t244,neutral
t245,neutral
t246,neutral
t247,neutral
t248,neutral
t249,neutral
t250,neutral
t251,neutral
t252,neutral
t253,neutral
t254,neutral
t255,neutral
t256,neutral
t257,neutral
t258,neutral
t259,neutral
t260,neutral
t261,neutral
t262,neutral
t263,neutral
t264,neutral
t265,neutral
t266,neutral
t267,positive
t268,neutral
t269,neutral
t270,neutral
t271,neutral
t272,neutral
t273,neutral
t274,neutral
t275,neutral
t276,neutral
t277,neutral
t278,neutral
t279,neutral
t280,neutral
t281,neutral
t282,neutral
t283,neutral
t284,neutral
t285,neutral
t286,neutral
t287,neutral
t288,neutral
t289,neutral
t290,neutral
t291,neutral
t292,neutral
t293,neutral
t294,neutral
t295,neutral
t296,neutral
t297,neutral
t298,neutral
t299,neutral
t300,neutral
t301,neutral
t302,neutral
t303,neutral
t304,negative
t305,neutral
t306,positive
t307,neutral
t308,neutral
t309,neutral
t310,neutral
t311,neutral
t312,neutral
t313,neutral
t314,neutral
t315,neutral
t316,neutral
t317,neutral
t318,negative
t319,neutral
t320,neutral
t321,neutral
t322,neutral
t323,neutral
t324,neutral
t325,neutral
t326,neutral
t327,neutral
t328,neutral
t329,neutral
t330,positive
t331,neutral
t332,positive
t333,neutral
t334,negative
t335,neutral
t336,neutral
t337,neutral
t338,neutral
t339,neutral
t340,neutral
t341,neutral
t342,neutral
t343,neutral
t344,neutral
t345,neutral
t346,neutral
t347,neutral
t348,neutral
t349,neutral
t350,neutral
t351,neutral
t352,neutral
t353,neutral
t354,neutral
t355,positive
t356,neutral
t357,neutral
t358,neutral
t359,neutral
t360,neutral
t361,neutral
t362,neutral
t363,neutral
t364,neutral
t365,neutral
t366,neutral
t367,neutral
t368,neutral
t369,neutral
t370,neutral
t371,neutral
t372,positive
t373,neutral
t374,neutral
t375,neutral
t376,neutral
t377,neutral
t378,neutral
t379,neutral
t380,neutral
t381,neutral
t382,positive
t383,neutral
t384,neutral
t385,neutral
t386,neutral
t387,neutral
t388,neutral
t389,neutral
t390,neutral
t391,neutral
t392,neutral
t393,neutral
t394,negative
t395,neutral
t396,neutral
t397,neutral
t398,negative
t399,neutral
t400,neutral
t401,neutral
t402,neutral
t403,neutral
t404,neutral
t405,neutral
t406,neutral
t407,neutral
t408,neutral
t409,positive
t410,neutral
t411,neutral
t412,neutral
t413,positive
t414,positive
t415,neutral
t416,neutral
t417,neutral
t418,neutral
t419,neutral
t420,positive
t421,positive
t422,neutral
t423,neutral
t424,neutral
t425,neutral
t426,neutral
t427,neutral
t428,neutral
t429,neutral
t430,neutral
t431,neutral
t432,neutral
t433,neutral
t434,neutral
t435,neutral
t436,neutral
t437,neutral
t438,neutral
t439,neutral
t440,neutral
t441,neutral
t442,neutral
t443,neutral
t444,neutral
t445,neutral
t446,neutral
t447,neutral
t448,neutral
t449,neutral
t450,neutral
t451,neutral
t452,neutral
t453,neutral
t454,neutral
t455,neutral
t456,neutral
t457,neutral
t458,neutral
t459,positive
t460,neutral
t461,neutral
t462,neutral
t463,positive
t464,neutral
t465,neutral
t466,neutral
t467,neutral
t468,neutral
t469,positive
t470,neutral
t471,positive
t472,neutral
t473,neutral
t474,neutral
t475,neutral
t476,neutral
t477,neutral
t478,neutral
t479,neutral
t480,neutral
t481,neutral
t482,neutral
